benchmark,instance,verdict,wall_s,timeout_s,m,ell,epsilon,coverage,confidence,cex_x,cex_y,error,timestamp
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2446.vnnlib,UNSAT,113.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:09:43.385184+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_4509.vnnlib,UNSAT,107.8,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:11:36.343625+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6246.vnnlib,UNSAT,114.1,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:13:35.469453+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2043.vnnlib,UNSAT,112.9,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:15:33.413721+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2203.vnnlib,UNSAT,113.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:17:31.784189+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3695.vnnlib,UNSAT,112.6,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:19:29.465429+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_8808.vnnlib,UNSAT,113.1,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:21:27.790549+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_747.vnnlib,UNSAT,113.9,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:23:26.686833+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2209.vnnlib,UNSAT,113.4,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:25:25.324515+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_8776.vnnlib,UNSAT,107.3,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:27:17.589017+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3660.vnnlib,UNSAT,107.5,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:29:10.211984+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7086.vnnlib,UNSAT,112.7,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:31:08.091353+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_1058.vnnlib,UNSAT,114.8,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:33:08.228347+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3034.vnnlib,UNSAT,113.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:35:06.547175+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2296.vnnlib,UNSAT,107.0,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:36:58.559790+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_9655.vnnlib,UNSAT,112.4,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:38:56.183564+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_1438.vnnlib,UNSAT,107.7,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:40:49.083515+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_94.vnnlib,UNSAT,114.1,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:42:48.277639+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7664.vnnlib,UNSAT,107.5,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:44:40.915286+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_5846.vnnlib,UNSAT,113.9,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:46:39.911591+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7144.vnnlib,UNSAT,114.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:48:39.261938+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6578.vnnlib,UNSAT,114.5,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:50:38.744422+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7154.vnnlib,UNSAT,113.3,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:52:37.351432+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3832.vnnlib,UNSAT,113.0,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:54:35.472601+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_560.vnnlib,UNSAT,113.0,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:56:33.398689+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2593.vnnlib,UNSAT,114.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T16:58:32.875903+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_988.vnnlib,UNSAT,107.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:00:24.979396+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7102.vnnlib,UNSAT,113.1,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:02:23.164244+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_9306.vnnlib,UNSAT,113.6,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:04:21.999243+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2113.vnnlib,UNSAT,107.9,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:06:15.098071+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2640.vnnlib,UNSAT,112.8,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:08:12.984446+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_570.vnnlib,UNSAT,106.5,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:10:04.399192+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_535.vnnlib,UNSAT,113.9,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:12:03.532504+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_1579.vnnlib,UNSAT,112.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:14:00.917896+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_9785.vnnlib,UNSAT,113.6,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:15:59.609042+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6942.vnnlib,UNSAT,106.9,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:17:51.617567+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7363.vnnlib,UNSAT,108.5,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:19:45.412765+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_9825.vnnlib,UNSAT,112.9,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:21:43.311008+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_425.vnnlib,UNSAT,113.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:23:41.626529+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_722.vnnlib,UNSAT,112.6,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:25:39.303854+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_646.vnnlib,UNSAT,113.5,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:27:38.003744+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_183.vnnlib,UNSAT,113.1,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:29:36.129145+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_4380.vnnlib,UNSAT,119.4,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:31:40.503427+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_374.vnnlib,UNSAT,112.9,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:33:38.514202+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_1566.vnnlib,UNSAT,107.9,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:35:31.426548+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7869.vnnlib,UNSAT,113.4,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:37:29.846655+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_953.vnnlib,UNSAT,112.4,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:39:27.355431+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6160.vnnlib,UNSAT,112.9,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:41:25.375795+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2218.vnnlib,UNSAT,106.7,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:43:17.120129+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_4714.vnnlib,UNSAT,113.5,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:45:15.719143+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_5704.vnnlib,UNSAT,108.7,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:47:09.399423+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_5579.vnnlib,UNSAT,113.3,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:49:07.735969+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6805.vnnlib,UNSAT,112.8,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:51:05.572768+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_8836.vnnlib,UNSAT,114.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:53:04.863512+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_5030.vnnlib,UNSAT,108.0,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:54:57.954172+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_8341.vnnlib,UNSAT,112.6,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:56:55.574623+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_9835.vnnlib,UNSAT,109.4,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T17:58:50.280663+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_8907.vnnlib,UNSAT,113.8,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:00:49.028424+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6427.vnnlib,UNSAT,108.0,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:02:42.076366+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_5528.vnnlib,UNSAT,108.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:04:35.387698+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6628.vnnlib,UNSAT,107.4,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:06:27.816786+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7403.vnnlib,UNSAT,106.8,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:08:19.706137+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2896.vnnlib,UNSAT,106.6,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:10:11.381193+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6088.vnnlib,UNSAT,107.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:12:03.720755+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7065.vnnlib,UNSAT,112.4,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:14:01.225009+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2760.vnnlib,UNSAT,113.5,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:16:00.052686+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_9016.vnnlib,UNSAT,106.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:17:50.738521+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3727.vnnlib,UNSAT,113.3,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:19:49.259665+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_9276.vnnlib,UNSAT,107.9,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:21:42.234442+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_4567.vnnlib,UNSAT,107.5,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:23:34.874915+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7724.vnnlib,UNSAT,113.0,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:25:33.059727+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_1559.vnnlib,UNSAT,108.5,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:27:26.874858+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_4350.vnnlib,UNSAT,113.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:29:25.165986+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_4049.vnnlib,UNSAT,112.9,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:31:23.180639+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_1792.vnnlib,UNSAT,112.0,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:33:20.439209+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6461.vnnlib,UNSAT,112.9,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:35:18.383228+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_5201.vnnlib,UNSAT,107.3,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:37:10.899701+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2830.vnnlib,UNSAT,113.5,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:39:09.554118+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7796.vnnlib,UNSAT,107.3,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:41:01.887112+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_9719.vnnlib,UNSAT,112.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:42:59.095263+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_160.vnnlib,UNSAT,107.9,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:44:52.070259+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3543.vnnlib,UNSAT,114.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:46:51.241977+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6539.vnnlib,UNSAT,112.8,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:48:49.101525+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_1197.vnnlib,UNSAT,114.2,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:50:48.304390+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_9347.vnnlib,UNSAT,108.3,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:52:41.668450+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_2351.vnnlib,UNSAT,112.6,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:54:39.303508+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7579.vnnlib,UNSAT,113.0,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:56:37.337901+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_8751.vnnlib,UNSAT,107.0,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T18:58:29.434789+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7576.vnnlib,UNSAT,112.4,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T19:00:26.889422+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_1087.vnnlib,UNSAT,113.5,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T19:02:25.372540+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_6102.vnnlib,UNSAT,112.8,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T19:04:23.351216+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3155.vnnlib,UNSAT,107.4,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T19:06:15.796829+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_7209.vnnlib,UNSAT,114.0,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T19:08:14.873310+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_4817.vnnlib,UNSAT,113.7,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T19:10:13.547349+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_9466.vnnlib,UNSAT,113.0,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T19:12:11.650735+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_285.vnnlib,UNSAT,106.7,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T19:14:03.408991+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_1949.vnnlib,UNSAT,113.3,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T19:16:01.734713+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3689.vnnlib,UNSAT,106.8,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T19:17:53.540947+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_3313.vnnlib,UNSAT,112.1,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T19:19:50.703245+00:00
vit_2023,pgd_2_3_16.onnx+pgd_2_3_16_8164.vnnlib,UNSAT,106.9,100,8000,7999,0.001,0.9990,0.9970,,,,2026-05-02T19:21:42.594731+00:00
